618.7500,689.7500
567.7500,673.2500
522.7500,632.7500
509.2500,584.7500
495.7500,475.2500
524.2500,421.2500
572.2500,410.7500
657.7500,413.7500
716.2500,425.7500
734.2500,460.2500
728.2500,586.2500
702.7500,637.2500
677.2500,667.2500
500.2500,580.2500
476.2500,517.2500
470.2500,457.2500
455.2500,376.2500
485.2500,286.2500
551.2500,229.2500
662.2500,227.7500
731.2500,271.2500
779.2500,346.2500
768.7500,451.2500
756.7500,526.2500
738.7500,565.2500
554.2500,475.2500
666.7500,470.7500
509.2500,457.2500
545.2500,445.2500
582.7500,452.7500
630.7500,452.7500
675.7500,442.2500
717.7500,451.2500
606.7500,463.2500
579.7500,551.7500
611.2500,562.2500
642.7500,557.7500
567.7500,604.2500
612.7500,599.7500
659.2500,601.2500
576.7500,620.7500
615.7500,632.7500
647.2500,619.2500
