571.60,651.60
596.86,665.38
555.52,626.33
544.04,580.40
541.74,481.64
560.11,415.04
601.45,366.81
713.99,369.11
755.33,415.04
778.30,483.94
778.30,571.21
759.92,628.63
727.77,663.08
525.66,578.10
516.48,527.58
518.77,486.24
514.18,417.34
548.63,339.25
608.34,291.02
725.47,295.62
778.30,350.74
810.45,426.52
819.63,483.94
817.34,536.76
794.37,575.81
601.45,488.53
718.58,488.53
562.41,463.27
592.27,454.08
626.72,460.97
688.73,463.27
730.06,456.38
759.92,470.16
658.87,488.53
631.31,545.95
658.87,555.14
688.73,543.65
606.05,594.18
658.87,591.88
716.28,594.18
631.31,614.85
658.87,619.44
695.62,612.55
