628.8828,781.4901
578.1898,751.9191
535.9455,716.0116
512.7112,650.5330
500.0380,540.6980
527.4967,462.5462
571.8531,416.0776
702.8102,418.1898
751.3911,477.3317
780.9620,553.3713
768.2888,648.4208
747.1667,711.7871
709.1469,747.6947
506.3746,650.5330
485.2525,614.6254
485.2525,555.4835
476.8036,473.1073
495.8135,409.7409
554.9554,350.5990
717.5957,348.4868
768.2888,409.7409
795.7475,485.7805
785.1865,568.1568
780.9620,610.4010
772.5132,650.5330
576.0776,549.1469
704.9224,555.4835
546.5066,551.2591
567.6287,542.8102
603.5363,551.2591
681.6881,553.3713
704.9224,547.0347
728.1568,557.5957
647.8927,538.5858
607.7607,631.5231
639.4439,639.9719
675.3515,637.8597
584.5264,667.4307
635.2195,671.6551
681.6881,675.8795
607.7607,692.7772
639.4439,703.3383
664.7904,699.1139
